game_id,game_date,age,opponent,outcome,started,field_goals,field_goal_attempts,field_goal_pct,three_points,three_point_attempts,three_point_pct,free_throw,free_throw_attempts,free_throw_pct,offense_rebound,defense_rebound,total_rebound,assists,steals,blocks,turnovers,personal_fouls,points,game_score,plus_minus,away_game
1,2021-10-19 00:00:00.000000,33-219,LAL,W (+7),1,5,21,0.238,2,8,0.25,9,9,1.0,1,9,10,10,3,0,4,1,21,17.3,4,1
2,2021-10-21 00:00:00.000000,33-221,LAC,W (+2),1,16,25,0.64,8,13,0.615,5,5,1.0,0,10,10,1,1,1,6,2,45,32.5,-2,0
3,2021-10-24 00:00:00.000000,33-224,SAC,W (+12),1,9,23,0.391,4,15,0.267,5,6,0.833,1,6,7,10,3,0,3,1,27,23.2,14,1
4,2021-10-26 00:00:00.000000,33-226,OKC,W (+8),1,6,14,0.429,4,9,0.444,7,7,1.0,1,5,6,4,0,1,4,1,23,16.9,15,1
5,2021-10-28 00:00:00.000000,33-228,MEM,L (-3),1,11,29,0.379,7,20,0.35,7,7,1.0,1,6,7,8,1,0,5,2,36,23.4,12,0
6,2021-10-30 00:00:00.000000,33-230,OKC,W (+21),1,7,16,0.438,6,15,0.4,0,0,,0,5,5,6,1,1,2,1,20,16.6,17,0
7,2021-11-03 00:00:00.000000,33-234,CHO,W (+22),1,6,15,0.4,3,11,0.273,0,0,,1,7,8,9,1,1,4,3,15,12.5,-1,0
8,2021-11-05 00:00:00.000000,33-236,NOP,W (+41),1,5,16,0.313,5,13,0.385,4,4,1.0,0,3,3,6,0,2,1,1,19,14.9,17,0
9,2021-11-07 00:00:00.000000,33-238,HOU,W (+13),1,8,16,0.5,4,11,0.364,0,0,,2,1,3,2,3,0,0,3,20,16.9,16,0
10,2021-11-08 00:00:00.000000,33-239,ATL,W (+14),1,14,28,0.5,9,19,0.474,13,13,1.0,2,5,7,10,4,1,2,0,50,48.6,31,0
11,2021-11-10 00:00:00.000000,33-241,MIN,W (+13),1,8,16,0.5,3,9,0.333,6,8,0.75,0,5,5,6,1,0,3,2,25,19.1,11,0
12,2021-11-12 00:00:00.000000,33-243,CHI,W (+26),1,15,24,0.625,9,17,0.529,1,1,1.0,0,4,4,5,1,1,6,1,40,29.2,31,0
13,2021-11-14 00:00:00.000000,33-245,CHO,L (-4),1,7,22,0.318,3,13,0.231,7,7,1.0,1,5,6,10,3,1,3,2,24,20.5,14,1
14,2021-11-16 00:00:00.000000,33-247,BRK,W (+18),1,12,19,0.632,9,14,0.643,4,4,1.0,0,7,7,5,2,1,2,4,37,33.2,16,1
15,2021-11-18 00:00:00.000000,33-249,CLE,W (+15),1,15,27,0.556,9,16,0.563,1,1,1.0,0,4,4,6,2,0,3,4,40,29.9,8,1
16,2021-11-21 00:00:00.000000,33-252,TOR,W (+15),1,2,10,0.2,1,6,0.167,7,7,1.0,0,2,2,8,1,0,4,1,12,8.6,19,0
17,2021-11-24 00:00:00.000000,33-255,PHI,W (+20),1,9,16,0.563,6,11,0.545,1,2,0.5,0,4,4,10,1,0,4,1,25,21.8,29,0
18,2021-11-26 00:00:00.000000,33-257,POR,W (+15),1,12,25,0.48,6,15,0.4,2,3,0.667,0,7,7,8,1,0,3,2,32,23.8,18,0
