game_id,game_date,age,opponent,outcome,started,field_goals,field_goal_attempts,field_goal_pct,three_points,three_point_attempts,three_point_pct,free_throw,free_throw_attempts,free_throw_pct,offense_rebound,defense_rebound,total_rebound,assists,steals,blocks,turnovers,personal_fouls,points,game_score,plus_minus,away_game
1,2016-10-25 00:00:00.000000,28-225,SAS,L (-29),1,9,18,0.5,3,10,0.3,5,6,0.833,0,3,3,4,0,0,4,1,26,15.9,-9,0
2,2016-10-28 00:00:00.000000,28-228,NOP,W (+8),1,8,19,0.421,4,10,0.4,3,4,0.75,1,0,1,8,1,0,4,3,23,14.6,4,1
3,2016-10-30 00:00:00.000000,28-230,PHO,W (+6),1,9,17,0.529,5,8,0.625,5,5,1.0,0,1,1,3,0,0,1,5,28,19.1,0,1
4,2016-11-01 00:00:00.000000,28-232,POR,W (+23),1,10,21,0.476,5,10,0.5,3,4,0.75,1,3,4,3,1,0,4,3,28,16.4,24,1
5,2016-11-03 00:00:00.000000,28-234,OKC,W (+26),1,6,14,0.429,2,6,0.333,7,8,0.875,0,1,1,7,2,1,1,1,21,19.7,17,0
6,2016-11-04 00:00:00.000000,28-235,LAL,L (-20),1,5,17,0.294,0,10,0.0,3,3,1.0,0,8,8,10,2,1,2,3,13,12.0,-5,1
7,2016-11-07 00:00:00.000000,28-238,NOP,W (+10),1,16,26,0.615,13,17,0.765,1,2,0.5,3,2,5,5,2,0,4,2,46,37.2,7,0
8,2016-11-09 00:00:00.000000,28-240,DAL,W (+21),1,8,12,0.667,4,8,0.5,4,4,1.0,0,3,3,6,1,0,5,1,24,19.5,17,0
9,2016-11-10 00:00:00.000000,28-241,DEN,W (+24),1,10,17,0.588,7,13,0.538,6,6,1.0,1,4,5,6,1,0,4,1,33,27.8,27,1
10,2016-11-13 00:00:00.000000,28-244,PHO,W (+13),1,9,17,0.529,5,9,0.556,7,7,1.0,0,6,6,6,2,0,3,2,30,25.9,22,0
11,2016-11-16 00:00:00.000000,28-247,TOR,W (+6),1,10,19,0.526,3,9,0.333,12,13,0.923,2,1,3,7,1,0,3,3,35,28.7,5,1
12,2016-11-18 00:00:00.000000,28-249,BOS,W (+16),1,7,20,0.35,2,10,0.2,0,0,,0,3,3,8,4,1,2,4,16,12.4,19,1
13,2016-11-19 00:00:00.000000,28-250,MIL,W (+3),1,7,21,0.333,1,11,0.091,5,5,1.0,0,5,5,5,1,0,3,4,20,9.5,1,1
14,2016-11-21 00:00:00.000000,28-252,IND,W (+37),1,6,11,0.545,2,6,0.333,8,8,1.0,2,4,6,6,1,0,1,1,22,23.1,34,1
15,2016-11-23 00:00:00.000000,28-254,LAL,W (+43),1,11,18,0.611,7,12,0.583,2,2,1.0,0,5,5,9,1,0,1,1,31,30.2,32,0
16,2016-11-25 00:00:00.000000,28-256,LAL,W (+24),1,8,17,0.471,4,10,0.4,4,4,1.0,2,3,5,5,3,0,3,1,24,20.7,14,1
17,2016-11-26 00:00:00.000000,28-257,MIN,W (+13),1,13,19,0.684,4,8,0.5,4,4,1.0,1,7,8,6,1,0,6,4,34,26.3,16,0
18,2016-11-28 00:00:00.000000,28-259,ATL,W (+5),1,6,17,0.353,4,11,0.364,9,11,0.818,0,3,3,3,2,0,3,2,25,15.9,6,0
19,2016-12-01 00:00:00.000000,28-262,HOU,L (-5),1,9,22,0.409,4,13,0.308,6,6,1.0,1,2,3,5,3,1,5,6,28,17.3,10,0
20,2016-12-03 00:00:00.000000,28-264,PHO,W (+29),1,10,15,0.667,5,7,0.714,6,6,1.0,0,2,2,1,1,0,3,2,31,23.0,15,0
21,2016-12-05 00:00:00.000000,28-266,IND,W (+36),1,4,10,0.4,2,7,0.286,3,4,0.75,0,4,4,11,2,1,0,4,13,17.2,24,0
22,2016-12-07 00:00:00.000000,28-268,LAC,W (+17),1,7,16,0.438,0,8,0.0,5,5,1.0,0,4,4,6,7,0,3,3,19,18.8,18,1
23,2016-12-08 00:00:00.000000,28-269,UTA,W (+7),1,7,16,0.438,3,9,0.333,9,9,1.0,0,5,5,2,2,0,3,2,26,18.7,10,1
24,2016-12-10 00:00:00.000000,28-271,MEM,L (-21),1,4,14,0.286,3,11,0.273,6,6,1.0,2,6,8,3,0,0,4,3,17,8.9,-24,1
25,2016-12-11 00:00:00.000000,28-272,MIN,W (+8),1,6,13,0.462,2,5,0.4,8,8,1.0,1,3,4,9,1,0,0,3,22,23.0,-6,1
