game_id,game_date,age,opponent,outcome,started,field_goals,field_goal_attempts,field_goal_pct,three_points,three_point_attempts,three_point_pct,free_throw,free_throw_attempts,free_throw_pct,offense_rebound,defense_rebound,total_rebound,assists,steals,blocks,turnovers,personal_fouls,points,game_score,plus_minus,away_game
1,2009-10-28 00:00:00.000000,21-228,HOU,L (-1),1,7,12,0.583,0,1,0.0,0,0,,1,1,2,7,4,0,2,2,14,15.5,7,0
2,2009-10-30 00:00:00.000000,21-230,PHO,L (-22),1,5,9,0.556,2,3,0.667,0,0,,0,2,2,4,1,0,3,5,12,7.1,-19,1
3,2009-11-04 00:00:00.000000,21-235,MEM,W (+8),1,3,6,0.5,1,2,0.5,0,0,,0,5,5,9,2,0,1,4,7,11.2,-4,0
4,2009-11-06 00:00:00.000000,21-237,LAC,L (-28),1,1,5,0.2,0,1,0.0,3,4,0.75,0,1,1,3,0,0,0,6,5,1.5,-13,0
5,2009-11-08 00:00:00.000000,21-239,SAC,L (-13),1,4,8,0.5,1,2,0.5,0,2,0.0,1,3,4,6,0,0,5,4,9,3.4,-5,1
6,2009-11-09 00:00:00.000000,21-240,MIN,W (+41),1,2,8,0.25,1,2,0.5,3,4,0.75,0,2,2,5,1,0,2,1,8,5.5,28,0
7,2009-11-11 00:00:00.000000,21-242,IND,L (-14),0,3,7,0.429,0,2,0.0,0,0,,0,1,1,4,1,0,3,2,6,2.6,-13,1
8,2009-11-13 00:00:00.000000,21-244,NYK,W (+14),0,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,1,0,0.3,3,1
9,2009-11-14 00:00:00.000000,21-245,MIL,L (-4),0,6,9,0.667,2,2,1.0,0,0,,1,3,4,2,2,1,1,5,14,12.8,2,1
10,2009-11-17 00:00:00.000000,21-248,CLE,L (-6),1,6,10,0.6,2,6,0.333,0,1,0.0,0,5,5,7,0,0,3,2,14,11.6,-4,1
11,2009-11-18 00:00:00.000000,21-249,BOS,L (-14),1,4,10,0.4,1,4,0.25,4,4,1.0,0,0,0,7,4,0,6,3,13,9.3,5,1
12,2009-11-20 00:00:00.000000,21-251,POR,W (+14),1,3,9,0.333,2,3,0.667,4,5,0.8,0,6,6,8,1,1,1,6,12,12.2,18,0
13,2009-11-24 00:00:00.000000,21-255,DAL,W (+8),1,6,12,0.5,2,4,0.5,4,4,1.0,1,3,4,6,3,0,4,5,18,14.8,16,1
14,2009-11-25 00:00:00.000000,21-256,SAS,L (-14),1,5,16,0.313,1,4,0.25,0,0,,1,6,7,5,1,2,6,3,11,3.0,-7,1
15,2009-11-28 00:00:00.000000,21-259,LAL,L (-33),1,5,15,0.333,1,5,0.2,2,2,1.0,1,3,4,8,0,0,1,0,13,10.7,-23,0
16,2009-11-30 00:00:00.000000,21-261,IND,W (+19),1,2,5,0.4,1,2,0.5,2,2,1.0,0,2,2,4,3,0,2,2,7,7.9,-7,0
17,2009-12-01 00:00:00.000000,21-262,DEN,L (-28),1,4,14,0.286,2,6,0.333,0,0,,1,3,4,6,2,2,1,2,10,9.2,-14,1
18,2009-12-03 00:00:00.000000,21-264,HOU,L (-2),1,4,8,0.5,1,3,0.333,2,2,1.0,1,4,5,2,2,1,4,3,11,7.8,-3,0
19,2009-12-05 00:00:00.000000,21-266,ORL,L (-8),1,6,12,0.5,0,2,0.0,1,1,1.0,0,3,3,3,1,0,3,4,13,6.4,-8,0
20,2009-12-07 00:00:00.000000,21-268,OKC,L (-16),1,9,14,0.643,2,4,0.5,2,2,1.0,0,4,4,2,4,0,5,5,22,15.4,-17,1
21,2009-12-09 00:00:00.000000,21-270,NJN,W (+16),1,6,13,0.462,1,4,0.25,1,2,0.5,1,3,4,4,3,0,4,4,14,8.7,7,1
22,2009-12-11 00:00:00.000000,21-272,CHI,L (-5),1,3,9,0.333,0,3,0.0,0,0,,0,3,3,1,1,0,0,0,6,3.5,-8,1
23,2009-12-12 00:00:00.000000,21-273,DET,L (-9),1,5,10,0.5,3,4,0.75,6,6,1.0,0,2,2,4,4,1,4,4,19,16.5,-11,1
24,2009-12-14 00:00:00.000000,21-275,PHI,L (-16),1,5,13,0.385,1,4,0.25,3,4,0.75,0,4,4,4,4,1,4,5,14,9.2,-14,1
25,2009-12-16 00:00:00.000000,21-277,SAS,L (-12),1,4,11,0.364,0,2,0.0,0,0,,1,3,4,3,4,0,1,5,8,6.6,-12,0
26,2009-12-18 00:00:00.000000,21-279,WAS,L (-9),1,9,17,0.529,5,9,0.556,4,4,1.0,1,7,8,4,3,0,2,4,27,23.7,-10,0
27,2009-12-22 00:00:00.000000,21-283,MEM,L (-13),1,6,15,0.4,2,6,0.333,0,0,,1,6,7,8,0,0,4,2,14,9.2,-3,1
28,2009-12-23 00:00:00.000000,21-284,NOH,L (-6),1,6,13,0.462,3,5,0.6,2,2,1.0,0,10,10,7,2,0,2,5,17,16.2,-1,1
29,2009-12-26 00:00:00.000000,21-287,PHO,W (+5),1,4,10,0.4,3,4,0.75,2,2,1.0,1,2,3,4,3,0,1,4,13,12.1,6,0
30,2009-12-28 00:00:00.000000,21-289,BOS,W (+4),1,0,4,0.0,0,1,0.0,0,1,0.0,0,2,2,0,1,0,1,3,0,-3.8,-16,0
31,2009-12-29 00:00:00.000000,21-290,LAL,L (-6),1,6,10,0.6,0,1,0.0,3,3,1.0,1,2,3,3,0,0,4,3,15,8.6,-7,1
32,2010-01-02 00:00:00.000000,21-294,POR,L (-16),1,4,10,0.4,1,2,0.5,0,0,,0,1,1,1,1,0,3,4,9,1.0,-6,1
33,2010-01-05 00:00:00.000000,21-297,DEN,L (-1),1,10,13,0.769,6,6,1.0,0,0,,0,5,5,6,3,0,2,3,26,26.4,-1,1
34,2010-01-06 00:00:00.000000,21-298,MIN,W (+6),1,7,11,0.636,0,2,0.0,2,2,1.0,0,1,1,4,2,0,1,6,16,12.8,11,1
35,2010-01-08 00:00:00.000000,21-300,SAC,W (+7),1,5,10,0.5,1,2,0.5,1,2,0.5,0,3,3,4,1,0,2,3,12,8.1,5,0
36,2010-01-11 00:00:00.000000,21-303,CLE,L (-3),1,8,15,0.533,1,2,0.5,4,5,0.8,0,7,7,5,1,1,2,4,21,17.0,1,0
37,2010-01-13 00:00:00.000000,21-305,MIA,L (-13),1,3,10,0.3,3,5,0.6,0,0,,1,3,4,4,0,0,4,1,9,3.2,-12,0
38,2010-01-15 00:00:00.000000,21-307,MIL,L (-9),1,7,17,0.412,1,4,0.25,3,3,1.0,0,6,6,4,6,1,4,6,18,13.8,-9,0
39,2010-01-18 00:00:00.000000,21-310,CHI,W (+17),1,9,18,0.5,5,8,0.625,3,3,1.0,2,8,10,6,1,1,5,4,26,20.1,21,0
40,2010-01-20 00:00:00.000000,21-312,DEN,L (-5),1,6,17,0.353,3,8,0.375,0,0,,0,3,3,6,1,0,3,2,15,7.8,-2,0
41,2010-01-22 00:00:00.000000,21-314,NJN,W (+32),1,11,21,0.524,3,7,0.429,7,8,0.875,0,2,2,7,4,0,2,4,32,27.2,32,0
42,2010-01-23 00:00:00.000000,21-315,PHO,L (-9),1,10,25,0.4,4,9,0.444,1,1,1.0,0,5,5,2,0,0,1,4,25,11.8,-10,1
43,2010-01-26 00:00:00.000000,21-318,SAC,L (-3),1,10,22,0.455,3,10,0.3,4,5,0.8,1,8,9,6,3,0,1,3,27,23.3,9,1
44,2010-01-27 00:00:00.000000,21-319,NOH,L (-13),1,7,13,0.538,1,3,0.333,0,0,,0,5,5,8,3,0,5,4,15,12.2,-5,0
45,2010-01-29 00:00:00.000000,21-321,CHA,L (-11),1,8,15,0.533,2,4,0.5,4,4,1.0,0,1,1,9,3,0,1,3,22,22.1,0,0
46,2010-01-31 00:00:00.000000,21-323,OKC,L (-8),1,4,10,0.4,2,2,1.0,4,4,1.0,2,2,4,5,1,0,5,2,14,9.3,-18,1
47,2010-02-02 00:00:00.000000,21-325,HOU,L (-22),1,6,18,0.333,2,5,0.4,0,0,,1,1,2,4,1,0,0,1,14,8.2,-22,1
48,2010-02-03 00:00:00.000000,21-326,DAL,L (-9),1,1,6,0.167,0,2,0.0,4,4,1.0,0,0,0,3,0,0,3,2,6,0.5,-8,1
49,2010-02-06 00:00:00.000000,21-329,OKC,L (-9),1,9,15,0.6,3,7,0.429,2,3,0.667,0,1,1,4,2,0,3,3,23,16.6,2,0
50,2010-02-08 00:00:00.000000,21-331,DAL,L (-10),1,9,20,0.45,1,5,0.2,6,6,1.0,0,2,2,9,2,0,3,4,25,18.9,-10,0
51,2010-02-10 00:00:00.000000,21-333,LAC,W (+30),1,11,22,0.5,7,11,0.636,7,8,0.875,0,10,10,13,3,0,6,4,36,32.1,35,0
52,2010-02-16 00:00:00.000000,21-339,LAL,L (-10),1,5,21,0.238,1,10,0.1,0,0,,0,10,10,8,1,0,4,5,11,1.9,-4,1
53,2010-02-17 00:00:00.000000,21-340,SAC,W (+32),1,10,15,0.667,1,4,0.25,3,3,1.0,1,5,6,15,3,0,3,2,24,29.4,36,0
54,2010-02-19 00:00:00.000000,21-342,UTA,L (-11),1,4,9,0.444,3,6,0.5,2,2,1.0,1,5,6,7,3,0,10,1,13,8.0,0,0
55,2010-02-21 00:00:00.000000,21-344,ATL,W (+4),1,13,18,0.722,1,3,0.333,5,5,1.0,2,7,9,3,1,0,5,3,32,25.0,5,0
56,2010-02-23 00:00:00.000000,21-346,PHI,L (-8),1,8,22,0.364,1,8,0.125,0,1,0.0,1,5,6,5,0,0,2,2,17,7.3,-17,0
57,2010-02-25 00:00:00.000000,21-348,DEN,L (-15),1,11,19,0.579,2,5,0.4,6,6,1.0,1,6,7,13,2,1,2,1,30,33.0,-24,0
58,2010-02-27 00:00:00.000000,21-350,DET,W (+7),1,11,25,0.44,3,6,0.5,2,3,0.667,1,4,5,4,1,0,5,4,27,12.6,7,0
