game_id,game_date,age,opponent,outcome,started,field_goals,field_goal_attempts,field_goal_pct,three_points,three_point_attempts,three_point_pct,free_throw,free_throw_attempts,free_throw_pct,offense_rebound,defense_rebound,total_rebound,assists,steals,blocks,turnovers,personal_fouls,points,game_score,plus_minus,away_game
1,2014-10-29 00:00:00.000000,26-229,SAC,W (+18),1,7,17,0.412,2,9,0.222,8,9,0.889,1,9,10,5,6,0,4,5,24,21.4,20,1
2,2014-11-01 00:00:00.000000,26-232,LAL,W (+23),1,10,19,0.526,3,8,0.375,8,8,1.0,0,5,5,10,3,0,2,3,31,30.0,30,0
3,2014-11-02 00:00:00.000000,26-233,POR,W (+5),1,6,18,0.333,1,5,0.2,8,8,1.0,1,4,5,6,2,0,3,1,21,15.5,12,1
4,2014-11-05 00:00:00.000000,26-236,LAC,W (+17),1,9,18,0.5,4,8,0.5,6,6,1.0,0,6,6,7,1,0,5,4,28,20.1,21,0
5,2014-11-08 00:00:00.000000,26-239,HOU,W (+11),1,13,19,0.684,6,9,0.667,2,2,1.0,1,8,9,5,4,0,5,2,34,30.7,13,1
6,2014-11-09 00:00:00.000000,26-240,PHO,L (-12),1,10,20,0.5,4,10,0.4,4,4,1.0,0,2,2,10,5,0,10,5,28,18.6,-6,1
7,2014-11-11 00:00:00.000000,26-242,SAS,L (-13),1,7,18,0.389,0,7,0.0,2,2,1.0,0,6,6,5,0,0,3,2,16,7.7,-18,0
8,2014-11-13 00:00:00.000000,26-244,BRK,W (+8),1,6,12,0.5,3,7,0.429,2,2,1.0,1,2,3,5,0,0,3,5,17,10.8,6,0
9,2014-11-15 00:00:00.000000,26-246,CHO,W (+25),1,8,15,0.533,3,6,0.5,0,1,0.0,2,3,5,9,1,0,1,3,19,18.7,23,0
10,2014-11-16 00:00:00.000000,26-247,LAL,W (+21),1,10,19,0.526,5,9,0.556,5,5,1.0,0,4,4,15,1,0,3,0,30,30.4,27,1
11,2014-11-21 00:00:00.000000,26-252,UTA,W (+13),1,3,9,0.333,2,6,0.333,0,0,,0,5,5,10,2,0,4,2,8,8.6,23,0
12,2014-11-23 00:00:00.000000,26-254,OKC,W (+5),1,5,15,0.333,2,6,0.333,3,4,0.75,0,6,6,6,1,0,1,0,15,12.1,2,1
