game_id,game_date,age,opponent,outcome,started,field_goals,field_goal_attempts,field_goal_pct,three_points,three_point_attempts,three_point_pct,free_throw,free_throw_attempts,free_throw_pct,offense_rebound,defense_rebound,total_rebound,assists,steals,blocks,turnovers,personal_fouls,points,game_score,plus_minus,away_game
1,2011-12-25 00:00:00.000000,23-286,LAC,L (-19),1,2,12,0.167,0,4,0.0,0,1,0.0,2,3,5,4,2,2,5,4,4,-2.1,-5,0
2,2011-12-26 00:00:00.000000,23-287,CHI,W (+8),1,7,12,0.583,1,3,0.333,6,7,0.857,1,6,7,10,6,0,4,4,21,24.9,11,0
3,2011-12-31 00:00:00.000000,23-292,PHI,L (-28),1,9,15,0.6,3,8,0.375,0,0,,0,4,4,4,0,0,5,3,21,11.9,-22,0
4,2012-01-02 00:00:00.000000,23-294,PHO,L (-11),1,4,8,0.5,2,3,0.667,0,0,,0,2,2,2,1,0,2,5,10,5.0,-3,1
5,2012-01-04 00:00:00.000000,23-296,SAS,L (-6),1,7,11,0.636,3,4,0.75,3,3,1.0,0,3,3,8,0,0,2,2,20,18.8,2,1
6,2012-01-20 00:00:00.000000,23-312,IND,L (-3),1,5,15,0.333,2,6,0.333,0,0,,1,1,2,3,0,0,3,2,12,2.8,-4,0
7,2012-01-23 00:00:00.000000,23-315,MEM,L (-1),1,8,18,0.444,2,7,0.286,0,0,,3,3,6,5,3,0,5,3,18,11.9,-7,0
8,2012-01-25 00:00:00.000000,23-317,POR,W (+8),1,12,19,0.632,6,8,0.75,2,3,0.667,0,6,6,7,4,0,1,0,32,32.8,7,0
9,2012-01-27 00:00:00.000000,23-319,OKC,L (-11),1,6,16,0.375,2,7,0.286,1,1,1.0,0,2,2,6,2,0,4,4,15,7.4,-9,0
10,2012-01-31 00:00:00.000000,23-323,SAC,W (+3),1,1,7,0.143,0,3,0.0,1,2,0.5,0,3,3,8,1,1,0,1,3,5.9,3,0
11,2012-02-02 00:00:00.000000,23-325,UTA,W (+18),1,10,14,0.714,2,5,0.4,7,8,0.875,0,5,5,12,3,0,3,4,29,31.1,18,0
12,2012-02-04 00:00:00.000000,23-327,SAC,L (-8),1,4,14,0.286,3,8,0.375,0,0,,2,0,2,9,4,0,5,1,11,9.1,-11,1
13,2012-02-07 00:00:00.000000,23-330,OKC,L (-3),1,7,9,0.778,1,2,0.5,1,2,0.5,1,6,7,10,2,0,3,3,16,19.4,13,0
14,2012-02-09 00:00:00.000000,23-332,DEN,W (+8),1,13,17,0.765,6,9,0.667,4,7,0.571,0,7,7,7,0,2,1,3,36,34.3,15,1
15,2012-02-12 00:00:00.000000,23-335,HOU,W (+9),1,5,14,0.357,3,6,0.5,1,1,1.0,0,0,0,5,2,0,2,4,14,8.1,4,0
16,2012-02-13 00:00:00.000000,23-336,PHO,W (+6),1,3,10,0.3,1,4,0.25,2,2,1.0,2,5,7,5,1,0,2,2,9,7.8,2,0
17,2012-02-15 00:00:00.000000,23-338,POR,L (-2),1,3,10,0.3,0,2,0.0,2,2,1.0,1,2,3,8,2,2,2,2,8,9.7,7,0
18,2012-02-17 00:00:00.000000,23-340,OKC,L (-23),1,4,13,0.308,3,5,0.6,0,0,,1,1,2,4,0,0,4,2,11,2.5,-12,1
19,2012-02-18 00:00:00.000000,23-341,MEM,L (-1),1,13,21,0.619,6,9,0.667,4,4,1.0,1,1,2,6,2,0,2,5,36,29.7,9,1
20,2012-02-20 00:00:00.000000,23-343,LAC,W (+7),1,3,6,0.5,3,5,0.6,2,2,1.0,0,3,3,6,0,1,3,3,11,9.6,16,0
21,2012-02-22 00:00:00.000000,23-345,PHO,W (+2),1,3,7,0.429,1,3,0.333,2,2,1.0,0,0,0,2,2,0,1,1,9,7.3,13,1
22,2012-02-29 00:00:00.000000,23-352,ATL,W (+3),0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,2,1
23,2012-03-05 00:00:00.000000,23-357,WAS,W (+20),0,5,7,0.714,2,3,0.667,0,0,,0,1,1,1,1,0,0,1,12,10.7,10,1
24,2012-03-07 00:00:00.000000,23-359,MEM,L (-18),0,7,11,0.636,1,2,0.5,0,0,,0,4,4,3,0,0,2,3,15,10.2,4,0
25,2012-03-10 00:00:00.000000,23-362,DAL,W (+24),1,4,7,0.571,2,4,0.5,0,0,,0,2,2,2,1,0,3,0,10,6.7,10,0
26,2012-03-11 00:00:00.000000,23-363,LAC,W (+4),1,0,3,0.0,0,1,0.0,0,0,,0,3,3,1,0,0,1,0,0,-1.5,6,1
