game_id,game_date,age,opponent,outcome,started,field_goals,field_goal_attempts,field_goal_pct,three_points,three_point_attempts,three_point_pct,free_throw,free_throw_attempts,free_throw_pct,offense_rebound,defense_rebound,total_rebound,assists,steals,blocks,turnovers,personal_fouls,points,game_score,plus_minus,away_game
1,2017-10-17 00:00:00.000000,29-217,HOU,L (-1),1,8,18,0.444,3,9,0.333,3,3,1.0,0,5,5,4,1,0,2,4,22,14.3,9,0
2,2017-10-20 00:00:00.000000,29-220,NOP,W (+8),1,7,16,0.438,4,11,0.364,10,10,1.0,0,3,3,8,0,0,1,1,28,24.7,7,1
3,2017-10-21 00:00:00.000000,29-221,MEM,L (-10),1,9,17,0.529,6,11,0.545,13,13,1.0,0,6,6,3,0,0,2,5,37,28.6,-6,1
4,2017-10-23 00:00:00.000000,29-223,DAL,W (+30),1,7,15,0.467,2,10,0.2,13,13,1.0,2,0,2,8,4,0,6,1,29,25.9,22,1
5,2017-10-25 00:00:00.000000,29-225,TOR,W (+5),1,9,20,0.45,4,11,0.364,8,8,1.0,0,4,4,5,3,1,2,2,30,25.2,14,0
6,2017-10-27 00:00:00.000000,29-227,WAS,W (+3),1,7,19,0.368,3,13,0.231,3,3,1.0,0,5,5,8,2,0,2,2,20,15.8,-8,0
7,2017-10-29 00:00:00.000000,29-229,DET,L (-8),1,11,17,0.647,3,7,0.429,2,3,0.667,1,5,6,8,1,0,5,3,27,21.7,12,0
8,2017-10-30 00:00:00.000000,29-230,LAC,W (+28),1,9,14,0.643,7,11,0.636,6,8,0.75,2,3,5,6,2,1,1,3,31,31.0,21,1
9,2017-11-02 00:00:00.000000,29-233,SAS,W (+20),1,7,13,0.538,3,4,0.75,4,4,1.0,1,7,8,5,3,0,2,2,21,21.2,16,1
10,2017-11-04 00:00:00.000000,29-235,DEN,W (+19),1,7,14,0.5,5,10,0.5,3,4,0.75,0,0,0,11,2,0,3,0,22,21.3,44,1
11,2017-11-06 00:00:00.000000,29-237,MIA,W (+17),1,5,19,0.263,2,9,0.222,4,5,0.8,0,5,5,4,2,0,1,3,16,8.4,25,0
12,2017-11-08 00:00:00.000000,29-239,MIN,W (+24),1,7,16,0.438,2,7,0.286,6,6,1.0,0,8,8,8,2,1,5,2,22,18.5,16,0
13,2017-11-11 00:00:00.000000,29-242,PHI,W (+21),1,5,12,0.417,3,8,0.375,9,9,1.0,0,4,4,9,1,0,2,0,22,22.1,29,0
14,2017-11-16 00:00:00.000000,29-247,BOS,L (-4),1,3,14,0.214,2,9,0.222,1,2,0.5,2,4,6,5,4,0,4,5,9,4.1,-14,1
15,2017-11-18 00:00:00.000000,29-249,PHI,W (+8),1,11,22,0.5,4,9,0.444,9,9,1.0,0,5,5,5,0,1,2,1,35,27.3,3,1
16,2017-11-19 00:00:00.000000,29-250,BRK,W (+7),1,14,24,0.583,4,10,0.4,7,8,0.875,3,8,11,7,3,0,7,6,39,30.4,4,1
17,2017-11-22 00:00:00.000000,29-253,OKC,L (-17),1,9,18,0.5,3,8,0.375,3,3,1.0,1,4,5,6,1,0,6,1,24,15.7,-17,1
18,2017-11-24 00:00:00.000000,29-255,CHI,W (+49),1,10,18,0.556,4,11,0.364,9,9,1.0,0,7,7,4,2,0,2,2,33,28.5,39,0
19,2017-11-25 00:00:00.000000,29-256,NOP,W (+15),1,9,25,0.36,3,13,0.231,6,6,1.0,0,4,4,6,1,0,1,2,27,17.7,5,0
20,2017-11-29 00:00:00.000000,29-260,LAL,W (+4),1,9,20,0.45,3,9,0.333,7,8,0.875,0,5,5,7,0,0,5,4,28,17.0,4,1
21,2017-12-01 00:00:00.000000,29-262,ORL,W (+21),1,9,20,0.45,3,8,0.375,2,2,1.0,1,5,6,10,3,0,4,2,23,20.0,19,1
22,2017-12-03 00:00:00.000000,29-264,MIA,W (+28),1,11,16,0.688,5,9,0.556,3,4,0.75,0,2,2,3,2,0,0,1,30,27.1,20,1
23,2017-12-04 00:00:00.000000,29-265,NOP,W (+10),1,9,19,0.474,5,11,0.455,8,9,0.889,2,3,5,11,1,0,2,5,31,27.9,-1,1
24,2017-12-30 00:00:00.000000,29-291,MEM,W (+13),1,13,17,0.765,10,13,0.769,2,2,1.0,0,4,4,3,0,0,0,2,38,33.8,21,0
25,2018-01-03 00:00:00.000000,29-295,DAL,W (+3),1,11,19,0.579,6,13,0.462,4,5,0.8,0,5,5,8,1,0,3,1,32,27.4,7,1
26,2018-01-04 00:00:00.000000,29-296,HOU,W (+10),1,10,20,0.5,4,10,0.4,5,6,0.833,0,9,9,5,1,0,3,3,29,21.6,3,1
27,2018-01-06 00:00:00.000000,29-298,LAC,W (+16),1,11,21,0.524,8,16,0.5,15,16,0.938,2,4,6,3,3,0,2,2,45,39.2,28,1
28,2018-01-08 00:00:00.000000,29-300,DEN,W (+10),1,9,17,0.529,5,10,0.5,9,10,0.9,1,3,4,9,2,0,6,3,32,26.0,3,0
29,2018-01-13 00:00:00.000000,29-305,TOR,W (+2),1,6,12,0.5,2,7,0.286,10,12,0.833,0,6,6,9,1,0,1,3,24,24.1,-5,1
