game_id,game_date,age,opponent,outcome,started,field_goals,field_goal_attempts,field_goal_pct,three_points,three_point_attempts,three_point_pct,free_throw,free_throw_attempts,free_throw_pct,offense_rebound,defense_rebound,total_rebound,assists,steals,blocks,turnovers,personal_fouls,points,game_score,plus_minus,away_game
1,2020-12-22 00:00:00.000000,32-283,BRK,L (-26),1,7,21,0.333,2,10,0.2,4,4,1.0,3,1,4,10,2,0,3,1,20,16.1,-23,1
2,2020-12-25 00:00:00.000000,32-286,MIL,L (-39),1,6,17,0.353,2,10,0.2,5,5,1.0,0,4,4,6,1,0,2,2,19,13.1,-24,1
3,2020-12-27 00:00:00.000000,32-288,CHI,W (+1),1,11,25,0.44,5,15,0.333,9,9,1.0,0,2,2,6,2,2,4,1,36,26.7,3,1
4,2020-12-29 00:00:00.000000,32-290,DET,W (+10),1,9,17,0.529,5,9,0.556,8,8,1.0,0,5,5,6,2,0,8,5,31,20.4,3,1
5,2021-01-01 00:00:00.000000,32-293,POR,L (-25),1,9,20,0.45,4,12,0.333,4,4,1.0,0,8,8,5,0,0,1,1,26,20.1,-27,0
6,2021-01-03 00:00:00.000000,32-295,POR,W (+15),1,18,31,0.581,8,16,0.5,18,19,0.947,1,4,5,4,0,0,5,0,62,46.8,20,0
7,2021-01-04 00:00:00.000000,32-296,SAC,W (+31),1,9,18,0.5,5,12,0.417,7,7,1.0,0,9,9,8,0,0,2,3,30,26.1,26,0
8,2021-01-06 00:00:00.000000,32-298,LAC,L (-7),1,5,17,0.294,1,6,0.167,2,4,0.5,1,3,4,5,1,0,0,3,13,7.2,-10,0
9,2021-01-08 00:00:00.000000,32-300,LAC,W (+10),1,13,24,0.542,9,14,0.643,3,3,1.0,0,2,2,11,3,0,2,3,38,34.5,13,0
10,2021-01-10 00:00:00.000000,32-302,TOR,W (+1),1,2,16,0.125,1,10,0.1,6,6,1.0,3,6,9,6,0,0,5,3,11,2.5,7,0
11,2021-01-12 00:00:00.000000,32-304,IND,L (-9),1,7,17,0.412,3,8,0.375,3,5,0.6,1,3,4,3,2,0,2,3,20,12.6,-2,0
12,2021-01-14 00:00:00.000000,32-306,DEN,L (-10),1,14,23,0.609,5,11,0.455,2,2,1.0,0,11,11,4,2,0,7,2,35,24.8,-21,1
13,2021-01-18 00:00:00.000000,32-310,LAL,W (+2),1,8,22,0.364,3,12,0.25,7,7,1.0,0,1,1,7,1,0,4,2,26,15.2,-3,1
14,2021-01-20 00:00:00.000000,32-312,SAS,W (+22),1,10,17,0.588,4,8,0.5,2,2,1.0,1,10,11,7,1,0,4,2,26,22.9,30,0
15,2021-01-21 00:00:00.000000,32-313,NYK,L (-15),1,9,19,0.474,5,14,0.357,7,8,0.875,0,3,3,4,2,0,4,3,30,20.4,-16,0
16,2021-01-23 00:00:00.000000,32-315,UTA,L (-19),1,9,18,0.5,5,10,0.5,1,2,0.5,0,7,7,7,0,0,1,2,24,19.8,-24,1
17,2021-01-25 00:00:00.000000,32-317,MIN,W (+22),1,11,21,0.524,7,12,0.583,7,8,0.875,1,3,4,3,3,0,3,2,36,28.2,19,0
18,2021-01-27 00:00:00.000000,32-319,MIN,W (+12),1,6,17,0.353,4,11,0.364,0,0,,0,6,6,8,0,0,2,2,16,11.1,28,0
19,2021-01-28 00:00:00.000000,32-320,PHO,L (-21),1,10,20,0.5,5,10,0.5,2,2,1.0,1,3,4,4,0,0,4,2,27,16.6,-23,1
20,2021-01-30 00:00:00.000000,32-322,DET,W (+27),1,11,17,0.647,6,8,0.75,0,0,,0,5,5,7,2,0,6,1,28,22.5,26,0
21,2021-02-02 00:00:00.000000,32-325,BOS,L (-4),1,12,21,0.571,7,14,0.5,7,7,1.0,0,11,11,8,3,0,3,0,38,37.0,4,0
22,2021-02-04 00:00:00.000000,32-327,DAL,W (+31),1,9,17,0.529,4,10,0.4,6,6,1.0,0,3,3,6,0,0,2,2,28,22.0,19,1
23,2021-02-06 00:00:00.000000,32-329,DAL,L (-2),1,19,31,0.613,11,19,0.579,8,8,1.0,0,2,2,5,1,0,3,3,57,43.8,7,1
24,2021-02-08 00:00:00.000000,32-331,SAS,L (-5),1,10,17,0.588,6,11,0.545,6,6,1.0,0,7,7,6,1,0,1,1,32,30.0,3,1
25,2021-02-09 00:00:00.000000,32-332,SAS,W (+23),1,11,20,0.55,4,10,0.4,6,8,0.75,0,4,4,2,0,0,1,1,32,22.8,15,1
26,2021-02-11 00:00:00.000000,32-334,ORL,W (+6),1,14,26,0.538,10,19,0.526,2,2,1.0,0,8,8,5,4,0,6,1,40,30.9,16,0
27,2021-02-13 00:00:00.000000,32-336,BRK,L (-17),1,10,17,0.588,2,9,0.222,5,5,1.0,0,3,3,5,0,0,4,2,27,18.7,-26,0
28,2021-02-15 00:00:00.000000,32-338,CLE,W (+31),1,13,19,0.684,7,11,0.636,3,3,1.0,0,2,2,6,0,0,1,0,36,31.7,20,0
29,2021-02-17 00:00:00.000000,32-340,MIA,W (+8),1,8,25,0.32,5,20,0.25,4,4,1.0,1,6,7,11,2,0,3,1,25,19.5,8,0
30,2021-02-19 00:00:00.000000,32-342,ORL,L (-4),1,11,29,0.379,6,16,0.375,1,1,1.0,2,5,7,11,0,0,1,3,29,21.5,-7,1
31,2021-02-23 00:00:00.000000,32-346,NYK,W (+8),1,9,22,0.409,7,14,0.5,12,12,1.0,0,6,6,6,2,0,2,1,37,30.8,19,1
32,2021-02-24 00:00:00.000000,32-347,IND,W (+4),1,7,21,0.333,1,11,0.091,9,10,0.9,1,7,8,8,2,0,4,2,24,17.3,7,1
33,2021-02-26 00:00:00.000000,32-349,CHO,W (+9),1,8,15,0.533,3,8,0.375,10,10,1.0,0,4,4,9,1,0,4,1,29,25.8,23,0
34,2021-02-28 00:00:00.000000,32-351,LAL,L (-26),1,5,13,0.385,2,7,0.286,4,5,0.8,0,4,4,7,3,0,3,2,16,13.8,-24,1
35,2021-03-03 00:00:00.000000,32-354,POR,L (-2),1,13,28,0.464,5,14,0.357,4,5,0.8,1,6,7,5,3,0,4,1,35,24.8,-6,1
36,2021-03-11 00:00:00.000000,32-362,LAC,L (-26),1,6,16,0.375,1,8,0.125,1,2,0.5,0,4,4,3,2,1,2,1,14,8.4,-19,1
37,2021-03-14 00:00:00.000000,33-000,UTA,W (+12),1,10,20,0.5,6,9,0.667,6,7,0.857,1,4,5,9,1,0,3,3,32,26.6,19,0
38,2021-03-15 00:00:00.000000,33-001,LAL,L (-31),1,9,17,0.529,4,7,0.571,5,5,1.0,0,3,3,2,3,0,2,1,27,21.6,-12,0
39,2021-03-17 00:00:00.000000,33-003,HOU,W (+14),1,7,18,0.389,2,11,0.182,2,2,1.0,0,5,5,8,1,0,2,3,18,13.1,10,1
40,2021-03-29 00:00:00.000000,33-015,CHI,W (+14),1,11,24,0.458,6,14,0.429,4,5,0.8,1,4,5,6,1,0,1,0,32,25.3,16,0
41,2021-04-01 00:00:00.000000,33-018,MIA,L (-7),1,9,19,0.474,5,11,0.455,13,13,1.0,2,9,11,3,0,0,3,2,36,28.7,2,1
42,2021-04-04 00:00:00.000000,33-021,ATL,L (-6),1,12,23,0.522,3,12,0.25,10,12,0.833,1,4,5,2,2,1,8,0,37,22.9,8,1
43,2021-04-06 00:00:00.000000,33-023,MIL,W (+1),1,14,21,0.667,5,10,0.5,8,9,0.889,2,4,6,4,0,0,4,2,41,32.1,3,0
44,2021-04-09 00:00:00.000000,33-026,WAS,L (-3),1,11,25,0.44,5,12,0.417,5,6,0.833,0,6,6,5,3,0,2,0,32,24.8,-16,0
45,2021-04-10 00:00:00.000000,33-027,HOU,W (+16),1,13,21,0.619,8,15,0.533,4,4,1.0,0,8,8,5,1,0,5,3,38,29.2,7,0
46,2021-04-12 00:00:00.000000,33-029,DEN,W (+9),1,14,24,0.583,10,18,0.556,15,16,0.938,0,6,6,4,0,0,5,3,53,39.8,16,0
47,2021-04-14 00:00:00.000000,33-031,OKC,W (+38),1,14,20,0.7,11,16,0.688,3,3,1.0,0,6,6,8,0,0,0,3,42,39.8,31,1
48,2021-04-15 00:00:00.000000,33-032,CLE,W (+18),1,12,25,0.48,4,13,0.308,5,5,1.0,0,4,4,5,0,2,4,3,33,21.2,5,1
49,2021-04-17 00:00:00.000000,33-034,BOS,L (-5),1,15,27,0.556,11,19,0.579,6,8,0.75,0,7,7,3,0,0,5,2,47,31.7,-7,1
50,2021-04-19 00:00:00.000000,33-036,PHI,W (+11),1,14,28,0.5,10,17,0.588,11,12,0.917,0,3,3,5,0,0,6,2,49,32.2,11,1
51,2021-04-21 00:00:00.000000,33-038,WAS,L (-4),1,7,25,0.28,2,14,0.143,2,2,1.0,0,7,7,8,1,0,6,2,18,5.2,-23,1
52,2021-04-23 00:00:00.000000,33-040,DEN,W (+21),1,11,18,0.611,4,9,0.444,6,6,1.0,0,8,8,3,0,0,3,3,32,24.1,27,0
53,2021-04-25 00:00:00.000000,33-042,SAC,W (+4),1,11,21,0.524,7,14,0.5,8,11,0.727,0,7,7,4,1,1,7,1,37,24.7,7,0
54,2021-04-27 00:00:00.000000,33-044,DAL,L (-30),1,9,18,0.5,5,9,0.556,4,4,1.0,0,1,1,2,2,0,2,1,27,19.3,-27,0
55,2021-04-29 00:00:00.000000,33-046,MIN,L (-12),1,11,27,0.407,6,17,0.353,9,9,1.0,1,5,6,8,2,0,3,4,37,27.7,-10,1
56,2021-05-01 00:00:00.000000,33-048,HOU,W (+26),1,9,23,0.391,7,17,0.412,5,7,0.714,0,5,5,5,1,0,4,0,30,18.7,25,1
57,2021-05-03 00:00:00.000000,33-050,NOP,W (+15),1,14,26,0.538,8,18,0.444,5,6,0.833,0,4,4,8,1,0,4,5,41,29.8,19,1
58,2021-05-04 00:00:00.000000,33-051,NOP,L (-5),1,13,31,0.419,8,20,0.4,3,3,1.0,2,7,9,2,3,0,4,2,37,23.6,-9,1
59,2021-05-06 00:00:00.000000,33-053,OKC,W (+21),1,11,21,0.524,6,13,0.462,6,7,0.857,0,4,4,7,1,0,3,2,34,26.6,24,0
60,2021-05-08 00:00:00.000000,33-055,OKC,W (+39),1,14,26,0.538,11,21,0.524,10,10,1.0,0,5,5,2,1,0,1,2,49,38.5,31,0
61,2021-05-10 00:00:00.000000,33-057,UTA,W (+3),1,11,25,0.44,3,13,0.231,11,12,0.917,1,3,4,6,2,0,3,1,36,26.9,4,0
62,2021-05-11 00:00:00.000000,33-058,PHO,W (+6),1,7,22,0.318,1,11,0.091,6,6,1.0,0,3,3,6,1,0,3,2,21,10.7,6,0
63,2021-05-16 00:00:00.000000,33-063,MEM,W (+12),1,16,36,0.444,9,22,0.409,5,6,0.833,1,6,7,9,1,1,7,2,46,29.5,14,0
