game_id,game_date,age,opponent,outcome,started,field_goals,field_goal_attempts,field_goal_pct,three_points,three_point_attempts,three_point_pct,free_throw,free_throw_attempts,free_throw_pct,offense_rebound,defense_rebound,total_rebound,assists,steals,blocks,turnovers,personal_fouls,points,game_score,plus_minus,away_game
1,2015-10-27 00:00:00.000000,27-227,NOP,W (+16),1,14,26,0.538,5,12,0.417,7,7,1.0,3,3,6,7,2,0,2,1,40,34.9,12,0
2,2015-10-30 00:00:00.000000,27-230,HOU,W (+20),1,9,15,0.6,4,9,0.444,3,4,0.75,0,7,7,6,1,0,1,4,25,22.4,12,1
3,2015-10-31 00:00:00.000000,27-231,NOP,W (+14),1,17,27,0.63,8,14,0.571,11,11,1.0,0,4,4,9,4,0,2,3,53,49.2,16,1
4,2015-11-02 00:00:00.000000,27-233,MEM,W (+50),1,10,16,0.625,4,8,0.5,6,6,1.0,1,2,3,3,3,1,3,2,30,26.1,37,0
5,2015-11-04 00:00:00.000000,27-235,LAC,W (+4),1,8,17,0.471,7,11,0.636,8,9,0.889,0,5,5,4,1,0,0,3,31,26.0,7,0
6,2015-11-06 00:00:00.000000,27-237,DEN,W (+15),1,12,22,0.545,8,16,0.5,2,3,0.667,0,7,7,10,3,1,4,1,34,31.4,14,0
7,2015-11-07 00:00:00.000000,27-238,SAC,W (+9),1,8,18,0.444,2,10,0.2,6,7,0.857,1,5,6,3,2,0,6,1,24,14.1,6,1
8,2015-11-09 00:00:00.000000,27-240,DET,W (+14),1,7,18,0.389,3,7,0.429,5,6,0.833,1,4,5,5,3,0,5,1,22,14.8,12,0
9,2015-11-11 00:00:00.000000,27-242,MEM,W (+16),1,9,21,0.429,3,10,0.3,7,7,1.0,0,5,5,5,5,1,4,1,28,23.2,16,1
10,2015-11-12 00:00:00.000000,27-243,MIN,W (+13),1,15,25,0.6,8,13,0.615,8,8,1.0,0,5,5,4,2,0,3,3,46,36.6,21,1
11,2015-11-14 00:00:00.000000,27-245,BRK,W (+8),1,13,31,0.419,5,16,0.313,3,3,1.0,0,3,3,6,1,0,4,1,34,19.2,3,0
12,2015-11-17 00:00:00.000000,27-248,TOR,W (+5),1,13,23,0.565,5,10,0.5,6,7,0.857,0,2,2,9,2,0,7,1,37,27.2,11,0
13,2015-11-19 00:00:00.000000,27-250,LAC,W (+7),1,11,22,0.5,6,14,0.429,12,12,1.0,0,11,11,4,3,0,7,2,40,30.3,12,1
14,2015-11-20 00:00:00.000000,27-251,CHI,W (+12),1,9,20,0.45,3,11,0.273,6,6,1.0,1,4,5,4,4,0,6,2,27,18.5,11,0
15,2015-11-22 00:00:00.000000,27-253,DEN,W (+13),1,8,16,0.5,3,8,0.375,0,0,,0,4,4,7,3,0,4,0,19,16.1,11,1
16,2015-11-24 00:00:00.000000,27-255,LAL,W (+34),1,10,21,0.476,4,12,0.333,0,0,,0,4,4,9,2,0,0,1,24,22.4,36,0
17,2015-11-27 00:00:00.000000,27-258,PHO,W (+19),1,11,20,0.55,9,16,0.563,10,11,0.909,1,5,6,8,2,0,6,2,41,34.0,27,1
18,2015-11-28 00:00:00.000000,27-259,SAC,W (+19),1,4,7,0.571,3,6,0.5,8,8,1.0,0,4,4,6,3,0,1,1,19,22.7,19,0
19,2015-11-30 00:00:00.000000,27-261,UTA,W (+3),1,9,20,0.45,4,8,0.5,4,4,1.0,2,4,6,5,2,0,2,2,26,20.9,12,1
20,2015-12-02 00:00:00.000000,27-263,CHO,W (+17),1,14,18,0.778,8,11,0.727,4,4,1.0,0,3,3,5,0,0,5,2,40,31.6,19,1
21,2015-12-05 00:00:00.000000,27-266,TOR,W (+3),1,14,24,0.583,9,15,0.6,7,9,0.778,1,1,2,7,0,0,3,4,44,33.3,15,1
