game_id,game_date,age,opponent,outcome,started,field_goals,field_goal_attempts,field_goal_pct,three_points,three_point_attempts,three_point_pct,free_throw,free_throw_attempts,free_throw_pct,offense_rebound,defense_rebound,total_rebound,assists,steals,blocks,turnovers,personal_fouls,points,game_score,plus_minus,away_game
1,2013-10-30 00:00:00.000000,25-230,LAL,W (+31),1,4,10,0.4,2,5,0.4,0,0,,0,4,4,6,1,0,1,4,10,8.4,28,0
2,2013-10-31 00:00:00.000000,25-231,LAC,L (-11),1,14,23,0.609,9,14,0.643,1,1,1.0,0,3,3,9,0,0,11,3,38,22.5,-8,1
3,2013-11-02 00:00:00.000000,25-233,SAC,W (+11),1,8,13,0.615,5,8,0.625,1,1,1.0,0,1,1,12,1,0,7,4,22,17.2,18,0
4,2013-11-04 00:00:00.000000,25-235,PHI,W (+20),1,7,16,0.438,2,9,0.222,2,2,1.0,3,7,10,12,5,1,2,0,18,25.9,34,1
5,2013-11-06 00:00:00.000000,25-237,MIN,W (+13),1,2,8,0.25,0,3,0.0,1,2,0.5,0,1,1,7,1,0,1,1,5,4.6,3,1
6,2013-11-09 00:00:00.000000,25-240,MEM,L (-18),1,7,18,0.389,4,10,0.4,4,4,1.0,1,1,2,5,3,0,3,1,22,16.3,-9,1
7,2013-11-12 00:00:00.000000,25-243,DET,W (+18),1,7,10,0.7,2,4,0.5,9,9,1.0,1,1,2,8,1,0,2,4,25,24.8,20,0
8,2013-11-14 00:00:00.000000,25-245,OKC,W (+1),1,8,22,0.364,4,8,0.5,2,3,0.667,0,5,5,9,1,0,2,4,22,14.6,-4,0
9,2013-11-16 00:00:00.000000,25-247,UTA,W (+14),1,7,20,0.35,0,5,0.0,1,2,0.5,0,3,3,11,1,0,0,1,15,12.6,18,0
10,2013-11-18 00:00:00.000000,25-249,UTA,W (+11),1,7,15,0.467,4,7,0.571,4,4,1.0,2,4,6,8,3,0,5,4,22,18.9,22,1
11,2013-11-23 00:00:00.000000,25-254,POR,L (-12),1,8,21,0.381,2,9,0.222,4,5,0.8,0,3,3,11,1,0,5,1,22,14.3,-6,0
