game_id,game_date,age,opponent,outcome,started,field_goals,field_goal_attempts,field_goal_pct,three_points,three_point_attempts,three_point_pct,free_throw,free_throw_attempts,free_throw_pct,offense_rebound,defense_rebound,total_rebound,assists,steals,blocks,turnovers,personal_fouls,points,game_score,plus_minus,away_game
1,2018-10-16 00:00:00.000000,30-216,OKC,W (+8),1,11,20,0.55,5,9,0.556,5,5,1.0,0,8,8,9,1,0,3,4,32,27.5,15,0
2,2018-10-19 00:00:00.000000,30-219,UTA,W (+1),1,13,24,0.542,5,9,0.556,0,1,0.0,1,3,4,8,2,0,4,2,31,23.4,-3,1
3,2018-10-21 00:00:00.000000,30-221,DEN,L (-2),1,10,23,0.435,6,16,0.375,4,4,1.0,0,4,4,6,0,0,2,4,30,19.7,3,1
4,2018-10-22 00:00:00.000000,30-222,PHO,W (+20),1,11,18,0.611,6,13,0.462,1,2,0.5,0,4,4,8,2,0,3,0,29,26.2,18,0
5,2018-10-24 00:00:00.000000,30-224,WAS,W (+22),1,15,24,0.625,11,16,0.688,10,10,1.0,0,4,4,3,0,1,2,1,51,41.8,19,0
6,2018-10-26 00:00:00.000000,30-226,NYK,W (+28),1,10,18,0.556,6,11,0.545,3,3,1.0,1,3,4,2,1,0,3,2,29,20.6,3,1
7,2018-10-28 00:00:00.000000,30-228,BRK,W (+6),1,11,26,0.423,7,15,0.467,6,7,0.857,1,6,7,3,1,0,2,1,35,24.0,11,1
8,2018-10-29 00:00:00.000000,30-229,CHI,W (+25),1,7,9,0.778,2,4,0.5,7,7,1.0,0,8,8,5,2,0,1,3,23,25.2,27,1
9,2018-10-31 00:00:00.000000,30-231,NOP,W (+10),1,12,20,0.6,7,11,0.636,6,7,0.857,0,2,2,9,2,0,5,3,37,30.1,19,0
10,2018-11-02 00:00:00.000000,30-233,MIN,W (+17),1,11,24,0.458,4,12,0.333,2,2,1.0,1,8,9,7,0,2,4,3,28,19.8,6,0
11,2018-11-05 00:00:00.000000,30-236,MEM,W (+16),1,6,17,0.353,3,6,0.5,4,4,1.0,2,3,5,7,1,1,5,1,19,13.0,26,0
12,2018-11-08 00:00:00.000000,30-239,MIL,L (-23),1,5,14,0.357,0,4,0.0,0,0,,0,1,1,6,0,0,2,4,10,3.1,-24,0
13,2018-12-01 00:00:00.000000,30-262,DET,L (-9),1,10,21,0.476,3,9,0.333,4,4,1.0,0,5,5,3,2,0,7,4,27,13.3,-8,1
14,2018-12-03 00:00:00.000000,30-264,ATL,W (+17),1,10,17,0.588,6,10,0.6,4,4,1.0,0,3,3,2,1,1,3,4,30,21.5,22,1
15,2018-12-05 00:00:00.000000,30-266,CLE,W (+24),1,11,20,0.55,9,14,0.643,11,12,0.917,0,9,9,7,1,0,2,1,42,38.2,22,1
16,2018-12-07 00:00:00.000000,30-268,MIL,W (+10),1,7,17,0.412,4,9,0.444,2,2,1.0,0,4,4,8,1,0,3,3,20,14.5,9,1
17,2018-12-10 00:00:00.000000,30-271,MIN,W (+8),1,12,23,0.522,7,14,0.5,7,7,1.0,1,6,7,6,2,1,2,1,38,33.7,9,0
18,2018-12-12 00:00:00.000000,30-273,TOR,L (-20),1,3,12,0.25,2,8,0.25,2,2,1.0,1,2,3,3,1,0,4,1,10,2.8,-16,0
19,2018-12-14 00:00:00.000000,30-275,SAC,W (+5),1,11,23,0.478,5,14,0.357,8,8,1.0,1,6,7,6,3,0,1,2,35,31.2,18,1
20,2018-12-17 00:00:00.000000,30-278,MEM,W (+17),1,6,16,0.375,3,9,0.333,5,5,1.0,0,7,7,1,2,0,3,3,20,11.8,19,0
21,2018-12-19 00:00:00.000000,30-280,UTA,L (-5),1,12,21,0.571,5,9,0.556,3,3,1.0,1,2,3,3,3,1,4,4,32,23.6,-6,1
22,2018-12-22 00:00:00.000000,30-283,DAL,W (+4),1,7,22,0.318,6,17,0.353,2,3,0.667,2,3,5,5,2,0,3,5,22,11.8,-3,0
23,2018-12-23 00:00:00.000000,30-284,LAC,W (+2),1,12,22,0.545,6,15,0.4,12,13,0.923,3,3,6,2,1,0,0,4,42,34.8,8,0
24,2018-12-25 00:00:00.000000,30-286,LAL,L (-26),1,5,17,0.294,2,8,0.25,3,3,1.0,0,2,2,5,1,0,1,5,15,7.2,-9,0
25,2018-12-27 00:00:00.000000,30-288,POR,L (-1),1,11,26,0.423,6,15,0.4,1,3,0.333,1,4,5,7,2,2,7,1,29,17.2,-3,0
26,2018-12-29 00:00:00.000000,30-290,POR,W (+10),1,6,15,0.4,2,8,0.25,11,14,0.786,1,4,5,8,2,1,2,1,25,23.5,10,1
27,2018-12-31 00:00:00.000000,30-292,PHO,W (+23),1,11,17,0.647,5,9,0.556,7,7,1.0,1,8,9,4,1,0,3,2,34,29.6,15,1
28,2019-01-03 00:00:00.000000,30-295,HOU,L (-1),1,14,27,0.519,5,15,0.333,2,3,0.667,0,3,3,6,0,0,5,4,35,19.8,3,0
29,2019-01-05 00:00:00.000000,30-297,SAC,W (+4),1,14,26,0.538,10,20,0.5,4,4,1.0,0,5,5,2,2,0,6,2,42,27.5,12,1
30,2019-01-08 00:00:00.000000,30-300,NYK,W (+27),1,5,19,0.263,3,12,0.25,1,1,1.0,1,6,7,14,1,0,1,3,14,13.8,36,0
31,2019-01-11 00:00:00.000000,30-303,CHI,W (+37),1,10,16,0.625,5,11,0.455,3,3,1.0,2,3,5,8,0,0,4,0,28,24.7,39,0
32,2019-01-13 00:00:00.000000,30-305,DAL,W (+5),1,17,32,0.531,11,19,0.579,3,3,1.0,3,3,6,5,1,2,0,5,48,39.3,9,1
33,2019-01-15 00:00:00.000000,30-307,DEN,W (+31),1,10,18,0.556,8,13,0.615,3,3,1.0,1,5,6,4,0,0,3,2,31,23.6,25,1
34,2019-01-16 00:00:00.000000,30-308,NOP,W (+7),1,11,22,0.5,9,17,0.529,10,10,1.0,1,4,5,3,1,0,2,3,41,31.8,20,0
35,2019-01-18 00:00:00.000000,30-310,LAC,W (+18),1,10,19,0.526,3,11,0.273,5,5,1.0,0,5,5,4,1,1,1,2,28,22.9,9,1
36,2019-01-21 00:00:00.000000,30-313,LAL,W (+19),1,3,12,0.25,2,10,0.2,3,3,1.0,1,4,5,12,1,0,0,3,11,13.9,27,1
37,2019-01-24 00:00:00.000000,30-316,WAS,W (+8),1,14,24,0.583,2,8,0.25,8,8,1.0,0,4,4,3,0,1,3,2,38,27.0,13,1
38,2019-01-26 00:00:00.000000,30-318,BOS,W (+4),1,7,15,0.467,6,12,0.5,4,4,1.0,0,3,3,3,0,0,1,2,24,17.5,4,1
39,2019-01-28 00:00:00.000000,30-320,IND,W (+32),1,10,13,0.769,6,8,0.75,0,0,,1,5,6,3,2,0,3,4,26,22.6,10,1
40,2019-01-31 00:00:00.000000,30-323,PHI,L (-9),1,14,27,0.519,10,18,0.556,3,4,0.75,1,3,4,6,1,0,6,1,41,27.7,-6,0
41,2019-02-02 00:00:00.000000,30-325,LAL,W (+14),1,5,15,0.333,2,9,0.222,2,3,0.667,0,4,4,2,0,0,2,2,14,4.9,13,0
42,2019-02-06 00:00:00.000000,30-329,SAS,W (+39),1,7,12,0.583,3,5,0.6,2,3,0.667,1,4,5,7,2,1,3,2,19,18.7,26,0
43,2019-02-08 00:00:00.000000,30-331,PHO,W (+10),1,6,17,0.353,3,11,0.273,5,6,0.833,0,7,7,7,1,1,2,5,20,14.8,13,1
44,2019-02-10 00:00:00.000000,30-333,MIA,W (+2),1,9,18,0.5,5,10,0.5,2,2,1.0,1,3,4,2,2,0,2,2,25,18.2,-9,0
45,2019-02-12 00:00:00.000000,30-335,UTA,W (+7),1,8,19,0.421,5,14,0.357,3,3,1.0,0,5,5,4,4,2,2,3,24,20.4,5,0
46,2019-02-13 00:00:00.000000,30-336,POR,L (-22),1,10,24,0.417,5,14,0.357,7,7,1.0,1,6,7,2,0,0,1,2,32,21.3,-10,1
47,2019-02-21 00:00:00.000000,30-344,SAC,W (+2),1,12,23,0.522,10,16,0.625,2,2,1.0,0,6,6,7,2,0,3,1,36,30.0,6,0
48,2019-02-23 00:00:00.000000,30-346,HOU,L (-6),1,9,18,0.5,5,11,0.455,2,2,1.0,0,9,9,7,1,1,3,3,25,21.1,-1,0
49,2019-02-25 00:00:00.000000,30-348,CHO,W (+11),1,5,18,0.278,4,14,0.286,2,3,0.667,0,5,5,6,4,0,4,1,16,10.3,-4,1
50,2019-02-27 00:00:00.000000,30-350,MIA,L (-1),1,9,20,0.45,4,14,0.286,2,3,0.667,1,5,6,4,0,0,3,1,24,14.8,5,1
51,2019-02-28 00:00:00.000000,30-351,ORL,L (-7),1,12,33,0.364,5,17,0.294,4,4,1.0,1,7,8,6,0,0,3,1,33,18.3,1,1
52,2019-03-02 00:00:00.000000,30-353,PHI,W (+3),1,10,23,0.435,5,15,0.333,3,3,1.0,1,3,4,2,4,0,2,4,28,19.3,2,1
53,2019-03-05 00:00:00.000000,30-356,BOS,L (-33),1,8,16,0.5,4,10,0.4,3,3,1.0,0,3,3,4,1,0,4,3,23,14.5,-21,0
54,2019-03-08 00:00:00.000000,30-359,DEN,W (+17),1,6,16,0.375,4,10,0.4,1,2,0.5,0,7,7,4,0,0,7,4,17,4.1,20,0
55,2019-03-10 00:00:00.000000,30-361,PHO,L (-4),1,6,20,0.3,4,15,0.267,2,2,1.0,0,7,7,8,3,1,3,4,18,13.2,7,0
56,2019-03-13 00:00:00.000000,30-364,HOU,W (+2),1,8,20,0.4,3,9,0.333,5,5,1.0,2,2,4,5,2,0,1,2,24,18.9,-3,1
57,2019-03-16 00:00:00.000000,31-002,OKC,W (+22),1,10,23,0.435,5,12,0.417,8,10,0.8,1,6,7,3,2,0,4,1,33,22.3,19,1
58,2019-03-18 00:00:00.000000,31-004,SAS,L (-6),1,9,25,0.36,6,18,0.333,1,1,1.0,1,6,7,8,3,1,2,3,25,19.7,3,1
59,2019-03-19 00:00:00.000000,31-005,MIN,W (+10),1,12,21,0.571,8,14,0.571,4,5,0.8,1,2,3,5,2,0,2,1,36,30.1,15,1
60,2019-03-21 00:00:00.000000,31-007,IND,W (+23),1,5,15,0.333,5,12,0.417,0,0,,1,3,4,7,1,0,3,3,15,9.8,24,0
61,2019-03-24 00:00:00.000000,31-010,DET,W (+7),1,9,19,0.474,5,10,0.5,3,3,1.0,2,7,9,3,1,0,4,2,26,18.1,14,0
